item_id,receipt_id,price,timestamp
1,101,499.99,2023-01-03 12:30:00
2,101,499.99,2023-01-03 12:28:00
3,101,499.99,2023-01-03 12:30:00
4,101,20.89,2023-01-03 12:28:00
5,101,0.52,2023-01-03 12:34:00
6,102,1.64,2023-01-03 16:52:00
7,102,9.48,2023-01-03 16:54:00
8,102,2.72,2023-01-03 16:54:00
9,102,5.39,2023-01-03 16:47:00
10,103,20.31,2023-01-01 13:21:00
11,103,0.89,2023-01-01 13:14:00
12,103,17.26,2023-01-01 13:27:00
13,103,17.24,2023-01-01 13:24:00
14,103,12.63,2023-01-01 13:27:00
15,104,5.03,2023-01-02 11:17:00
16,104,21.14,2023-01-02 11:14:00
17,104,23.52,2023-01-02 11:16:00
18,104,23.2,2023-01-02 11:17:00
19,105,7.15,2023-01-01 17:48:00
20,105,14.88,2023-01-01 17:52:00
21,105,7.38,2023-01-01 17:55:00
22,106,5.37,2023-01-01 17:07:00
23,106,0.84,2023-01-01 17:02:00
24,106,17.82,2023-01-01 17:02:00
25,107,18.38,2023-01-02 17:43:00
26,107,7.23,2023-01-02 17:38:00
27,107,12.07,2023-01-02 17:40:00
28,107,24.31,2023-01-02 17:38:00
29,107,19.14,2023-01-02 17:45:00
30,107,6.28,2023-01-02 17:49:00
31,107,12.6,2023-01-02 17:44:00
32,107,17.91,2023-01-02 17:45:00
33,108,12.15,2023-01-03 17:50:00
34,109,22.07,2023-01-03 12:30:00
35,109,20.3,2023-01-03 12:29:00
36,109,3.08,2023-01-03 12:32:00
37,109,20.19,2023-01-03 12:32:00
38,109,10.7,2023-01-03 12:34:00
39,109,13.71,2023-01-03 12:30:00
40,110,0.67,2023-01-01 10:09:00
41,110,13.59,2023-01-01 10:15:00
42,110,5.94,2023-01-01 10:04:00
43,110,7.1,2023-01-01 10:09:00
44,110,23.6,2023-01-01 10:07:00
45,111,6.67,2023-01-02 13:12:00
46,111,17.95,2023-01-02 13:15:00
47,111,7.48,2023-01-02 13:11:00
48,112,17.18,2023-01-01 10:22:00
49,112,12.49,2023-01-01 10:23:00
50,112,6.43,2023-01-01 10:21:00
51,113,16.02,2023-01-01 13:43:00
52,113,20.5,2023-01-01 13:33:00
53,113,4.19,2023-01-01 13:43:00
54,114,17.92,2023-01-03 13:32:00
55,114,6.05,2023-01-03 13:24:00
56,115,23.15,2023-01-01 11:02:00
57,115,17.55,2023-01-01 10:55:00
58,115,16.67,2023-01-01 10:58:00
59,115,24.56,2023-01-01 10:52:00
60,116,17.66,2023-01-01 10:36:00
61,116,21.48,2023-01-01 10:39:00
62,116,19.61,2023-01-01 10:41:00
63,116,21.35,2023-01-01 10:34:00
64,116,4.46,2023-01-01 10:39:00
65,117,4.81,2023-01-03 17:43:00
66,117,6.31,2023-01-03 17:44:00
67,117,4.88,2023-01-03 17:47:00
68,117,16.42,2023-01-03 17:46:00
69,117,18.16,2023-01-03 17:40:00
70,117,13.79,2023-01-03 17:50:00
71,117,9.51,2023-01-03 17:46:00
72,118,5.28,2023-01-03 17:44:00
73,118,12.73,2023-01-03 17:35:00
74,118,1.1,2023-01-03 17:32:00
75,118,1.57,2023-01-03 17:43:00
76,118,23.54,2023-01-03 17:44:00
77,118,7.35,2023-01-03 17:37:00
78,118,9.57,2023-01-03 17:40:00
79,119,4.65,2023-01-03 10:10:00
80,119,10.17,2023-01-03 10:07:00
81,119,17.55,2023-01-03 10:09:00
82,119,2.23,2023-01-03 10:03:00
83,119,15.57,2023-01-03 10:07:00
84,119,9.29,2023-01-03 10:16:00
85,120,5.26,2023-01-01 13:51:00
86,120,17.7,2023-01-01 13:57:00
87,120,22.31,2023-01-01 13:50:00
88,120,1.18,2023-01-01 13:45:00
89,120,2.8,2023-01-01 13:50:00
90,120,16.96,2023-01-01 13:46:00
91,120,11.91,2023-01-01 13:58:00
92,120,24.56,2023-01-01 13:49:00
93,120,14.98,2023-01-01 13:49:00
94,120,6.63,2023-01-01 13:53:00
95,120,20.65,2023-01-01 13:49:00
96,121,16.12,2023-01-02 16:37:00
97,121,3.75,2023-01-02 16:35:00
98,121,13.15,2023-01-02 16:47:00
99,121,1.51,2023-01-02 16:41:00
100,121,7.14,2023-01-02 16:45:00
101,121,18.73,2023-01-02 16:43:00
102,121,1.12,2023-01-02 16:38:00
103,122,6.63,2023-01-02 10:59:00
104,122,2.8,2023-01-02 10:54:00
105,122,16.67,2023-01-02 10:50:00
106,123,19.07,2023-01-02 17:58:00
107,123,8.88,2023-01-02 18:01:00
108,123,1.63,2023-01-02 17:50:00
109,123,8.13,2023-01-02 18:03:00
110,123,17.74,2023-01-02 18:01:00
111,124,10.26,2023-01-02 15:45:00
112,124,23.75,2023-01-02 15:39:00
113,124,1.61,2023-01-02 15:50:00
114,125,2.23,2023-01-01 13:21:00
115,125,23.63,2023-01-01 13:26:00
116,125,14.85,2023-01-01 13:25:00
117,126,2.97,2023-01-01 14:12:00
118,126,1.45,2023-01-01 14:12:00
119,126,17.23,2023-01-01 14:11:00
120,126,16.57,2023-01-01 14:23:00
121,126,21.2,2023-01-01 14:20:00
122,126,8.85,2023-01-01 14:13:00
123,126,7.41,2023-01-01 14:14:00
124,126,17.48,2023-01-01 14:12:00
125,126,15.91,2023-01-01 14:23:00
126,127,10.61,2023-01-03 10:35:00
127,127,6.63,2023-01-03 10:41:00
128,127,21.74,2023-01-03 10:38:00
129,127,6.35,2023-01-03 10:40:00
130,128,23.98,2023-01-01 13:13:00
131,128,2.74,2023-01-01 13:17:00
132,128,23.94,2023-01-01 13:25:00
133,128,23.79,2023-01-01 13:13:00
134,128,12.58,2023-01-01 13:15:00
135,128,2.75,2023-01-01 13:22:00
136,128,8.55,2023-01-01 13:21:00
137,129,9.1,2023-01-03 16:29:00
138,129,24.23,2023-01-03 16:36:00
139,129,19.16,2023-01-03 16:39:00
140,129,21.74,2023-01-03 16:33:00
141,129,2.56,2023-01-03 16:40:00
142,129,5.95,2023-01-03 16:36:00
143,129,20.64,2023-01-03 16:37:00
144,130,18.96,2023-01-03 10:49:00
145,130,17.85,2023-01-03 10:46:00
146,130,19.54,2023-01-03 10:49:00
147,130,17.77,2023-01-03 10:53:00
148,130,22.71,2023-01-03 10:50:00
149,130,11.14,2023-01-03 10:56:00
150,131,19.3,2023-01-02 13:41:00
151,132,24.46,2023-01-02 11:55:00
152,132,1.56,2023-01-02 11:47:00
153,132,1.56,2023-01-02 11:47:00
154,132,24.83,2023-01-02 11:47:00
155,132,6.7,2023-01-02 11:45:00
156,132,24.25,2023-01-02 11:44:00
157,132,4.57,2023-01-02 11:43:00
158,133,22.31,2023-01-02 17:26:00
159,133,3.12,2023-01-02 17:19:00
160,133,7.3,2023-01-02 17:26:00
161,133,16.35,2023-01-02 17:22:00
162,133,9.16,2023-01-02 17:16:00
163,134,20.44,2023-01-01 11:03:00
164,134,7.14,2023-01-01 11:04:00
165,134,22.82,2023-01-01 11:04:00
166,134,23.54,2023-01-01 10:54:00
167,135,12.27,2023-01-01 15:14:00
168,135,4.19,2023-01-01 15:04:00
169,135,18.86,2023-01-01 15:08:00
170,135,24.26,2023-01-01 15:10:00
171,135,14.44,2023-01-01 15:00:00
172,135,11.98,2023-01-01 15:02:00
173,136,20.42,2023-01-03 15:41:00
174,137,15.35,2023-01-01 12:57:00
175,137,22.02,2023-01-01 12:51:00
176,137,15.64,2023-01-01 12:55:00
177,137,7.08,2023-01-01 12:50:00
178,137,16.95,2023-01-01 12:45:00
179,137,12.17,2023-01-01 12:46:00
180,137,13.24,2023-01-01 12:55:00
181,138,17.75,2023-01-01 14:15:00
182,138,22.63,2023-01-01 14:24:00
183,138,24.52,2023-01-01 14:14:00
184,138,14.95,2023-01-01 14:26:00
185,138,14.09,2023-01-01 14:15:00
186,138,22.65,2023-01-01 14:16:00
187,139,12.57,2023-01-01 11:17:00
188,139,5.62,2023-01-01 11:15:00
189,139,6.38,2023-01-01 11:07:00
190,139,13.66,2023-01-01 11:11:00
191,139,3.64,2023-01-01 11:19:00
192,139,10.31,2023-01-01 11:12:00
193,139,4.91,2023-01-01 11:08:00
194,139,8.97,2023-01-01 11:07:00
195,139,21.92,2023-01-01 11:15:00
196,140,9.02,2023-01-01 11:32:00
197,140,2.67,2023-01-01 11:27:00
198,140,13.59,2023-01-01 11:38:00
199,141,17.35,2023-01-01 17:03:00
200,141,21.9,2023-01-01 17:10:00
201,141,9.74,2023-01-01 16:56:00
202,141,7.28,2023-01-01 16:56:00
203,142,18.15,2023-01-03 15:32:00
204,142,1.4,2023-01-03 15:30:00
205,142,3.76,2023-01-03 15:25:00
206,142,22.43,2023-01-03 15:36:00
207,142,18.87,2023-01-03 15:34:00
208,143,4.97,2023-01-01 16:42:00
209,143,8.39,2023-01-01 16:42:00
210,143,2.69,2023-01-01 16:49:00
211,144,14.16,2023-01-03 15:40:00
212,144,11.08,2023-01-03 15:35:00
213,144,9.78,2023-01-03 15:37:00
214,144,9.4,2023-01-03 15:42:00
215,144,15.39,2023-01-03 15:43:00
216,144,9.22,2023-01-03 15:45:00
217,145,6.53,2023-01-01 15:08:00
218,145,21.35,2023-01-01 15:18:00
219,146,17.58,2023-01-03 16:46:00
220,146,3.24,2023-01-03 16:40:00
221,146,14.61,2023-01-03 16:49:00
222,147,5.52,2023-01-03 14:52:00
223,147,8.43,2023-01-03 14:45:00
224,147,5.39,2023-01-03 14:46:00
225,147,6.44,2023-01-03 14:57:00
226,147,17.83,2023-01-03 14:56:00
227,147,7.57,2023-01-03 14:47:00
228,147,12.9,2023-01-03 14:57:00
229,148,13.95,2023-01-02 14:23:00
230,148,8.4,2023-01-02 14:23:00
